Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Fiyat,Şehir,Binanın_Kat_Sayısı,Yatırıma_Uygunluk,Takas,Banyo_Sayısı,Oda_Buyuklugu,Banyo_Orani,Isıtma_Tipi_Doğalgaz Sobalı,Isıtma_Tipi_Güneş Enerjisi,Isıtma_Tipi_Isıtma Yok,Isıtma_Tipi_Jeotermal,Isıtma_Tipi_Kat Kaloriferi,Isıtma_Tipi_Klimalı,Isıtma_Tipi_Kombi Doğalgaz,Isıtma_Tipi_Merkezi (Pay Ölçer),Isıtma_Tipi_Merkezi Doğalgaz,Isıtma_Tipi_Merkezi Kömür,Isıtma_Tipi_Sobalı,Isıtma_Tipi_Yerden Isıtma,Isıtma_Tipi_Bilinmiyor,Kullanım_Durumu_Kiracı Oturuyor,Kullanım_Durumu_Mülk Sahibi Oturuyor,Kullanım_Durumu_Bilinmiyor,Tapu_Durumu_Bilinmiyor,Tapu_Durumu_Hisseli Tapu,Tapu_Durumu_Kat Mülkiyeti,Tapu_Durumu_Kat İrtifakı,Tapu_Durumu_Müstakil Tapulu,Tapu_Durumu_nan
90,110.0,3.0,2.0,1,7.5,1785000.0,adana,3,1,2,1.0,30.0,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
100,120.0,4.0,2.0,1,4.0,2090000.0,adana,10,1,2,1.0,25.0,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
140,150.0,4.0,5.0,1,3.0,3200000.0,adana,5,1,2,2.0,35.0,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
45,50.0,2.0,14.0,1,0.0,975000.0,adana,14,1,2,1.0,22.5,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
45,60.0,2.0,4.0,1,0.0,1100000.0,adana,12,0,2,1.0,22.5,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
220,250.0,5.0,8.0,1,21.0,4200000.0,adana,12,1,1,1.0,44.0,0.2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
80,95.0,3.0,12.0,0,0.0,1395000.0,adana,13,0,2,1.0,26.666666666666668,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
280,300.0,6.0,16.0,0,4.0,13000000.0,adana,3,0,0,2.0,46.666666666666664,0.3333333333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
85,110.0,3.0,1.0,1,0.0,2370000.0,adana,14,1,2,2.0,28.333333333333332,0.6666666666666666,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
125,175.0,4.5,1.0,1,7.5,2700000.0,adana,10,1,1,2.0,27.77777777777778,0.4444444444444444,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
